1	4,04	24,05	3,76	351,10
2	4,36	24,06	2,41	351,36
3	3,43	25,50	1,96	347,74
4	4,97	21,77	1,54	349,18
5	3,13	23,33	3,01	348,44
6	3,50	21,73	3,58	352,93
7	4,69	25,28	1,34	346,11
8	4,27	23,93	2,60	349,22
9	3,03	25,11	3,09	338,15
10	3,98	24,46	1,76	338,80
11	3,52	22,99	2,23	351,71
12	5,00	21,84	3,32	345,63
14	5,15	23,58	1,25	346,76
15	2,16	24,04	1,39	346,09
16	5,81	23,75	1,63	339,47
17	2,38	23,13	4,52	347,54
18	3,33	24,20	2,32	353,28
19	5,09	24,47	3,71	341,21
20	4,50	24,76	2,08	349,96
21	4,19	25,51	1,46	342,54
22	4,30	23,78	2,68	340,60
23	4,84	23,80	2,93	343,35
24	4,47	23,19	2,34	351,46
25	3,54	23,05	2,30	353,53
26	3,64	23,61	2,50	336,24
27	3,42	23,01	4,20	349,76
28	5,54	23,96	2,31	332,60
29	4,58	25,41	2,15	342,55
30	2,93	25,23	2,53	339,24
31	6,20	24,50	2,13	332,21
33	4,33	24,60	1,44	339,64
34	3,58	24,04	1,87	341,23
35	3,88	22,65	2,09	347,90
36	4,68	22,95	2,28	349,13
37	4,26	23,24	4,22	336,21
38	4,69	23,27	3,70	346,00
39	3,03	23,97	3,09	351,39
40	3,03	23,00	2,22	349,32
41	4,26	23,73	1,76	345,76
42	2,72	23,94	2,14	339,84
43	3,27	25,03	2,32	349,67
44	2,83	23,87	2,70	346,62
